region_code,location_key,location_name
AA,Bathalaa_Resort,Bathalaa Resort
AA,Bodufolhudhoo,Bodufolhudhoo
AA,Feridhoo,Feridhoo
AA,Fesdhoo_Resort,Fesdhoo Resort
AA,Halaveli_Resort,Halaveli Resort
AA,Himandhoo,Himandhoo
AA,Kandholhudhoo_Resort,Kandholhudhoo Resort
AA,Kuramathi_Resort,Kuramathi Resort
AA,Maalhos,Maalhos
AA,Mathiveri,Mathiveri
AA,Nika_Resort,Nika Resort
AA,Rasdhoo,Rasdhoo
AA,Safari_Island_Resort,Safari Island Resort
AA,Thoddoo,Thoddoo
AA,Ukulhas,Ukulhas
AA,Veligandu_Resort,Veligandu Resort
ADh,Angaagaa_Resort,Angaagaa Resort
ADh,Dhangethi,Dhangethi
ADh,Dhigurah,Dhigurah
ADh,Fenfushi,Fenfushi
ADh,Haggnaameedhoo,Haggnaameedhoo
ADh,Holiday_Island_Resort,Holiday Island Resort
ADh,Lux_Maldives_Resort,Lux Maldives Resort
ADh,Maamigili,Maamigili
ADh,Machchafushi_Resort,Machchafushi Resort
ADh,Mahibadhoo,Mahibadhoo
ADh,Mandhoo,Mandhoo
ADh,Moofushi_Resort,Moofushi Resort
ADh,Omadhoo,Omadhoo
ADh,Rangali_Resort,Rangali Resort
ADh,Sun_Island_Resort,Sun Island Resort
ADh,Vakarufalhi_Resort,Vakarufalhi Resort
ADh,Vilamendhoo_Resort,Vilamendhoo Resort
B,Amilla_Fushi_Resort,Amilla Fushi Resort
B,Anantara_Kihaavah_Resort,Anantara Kihaavah Resort
B,AvaniFares_Resort,AvaniFares Resort
B,CocoPalm_Dhunikolhu_Resort,CocoPalm Dhunikolhu Resort
B,Dharavandhoo,Dharavandhoo
B,Dhonfanu,Dhonfanu
B,Eydhafushi,Eydhafushi
B,Goidhoo,Goidhoo
B,Hithaadhoo,Hithaadhoo
B,Kamadhoo,Kamadhoo
B,Kanufushi_Resort,Kanufushi Resort
B,Kendhoo,Kendhoo
B,Kihaadhoo,Kihaadhoo
B,Kihaadhuffaru_Resort,Kihaadhuffaru Resort
B,Kudarikilu,Kudarikilu
B,Landagiravaru_Resort,Landagiravaru Resort
B,Maalhos,Maalhos
B,Mudhdhoo_Resort,Mudhdhoo Resort
B,Reethi_Beach_Resort,Reethi Beach Resort
B,Royal_Island_Resort,Royal Island Resort
B,Soneva_Fushi_Resort,Soneva Fushi Resort
B,Thulhaadhoo,Thulhaadhoo
B,Voavah_Resort,Voavah Resort
Dh,Bandidhoo,Bandidhoo
Dh,Emboodhoofushi_Resort,Emboodhoofushi Resort
Dh,Hulhudheli,Hulhudheli
Dh,Kudahuvadhoo,Kudahuvadhoo
Dh,Maaeboodhoo,Maaeboodhoo
Dh,Meedhoo,Meedhoo
Dh,Rinbidhoo,Rinbidhoo
Dh,Vaanee,Vaanee
Dh,Velavaru_Resort,Velavaru Resort
Dh,Vilu_Reef_Resort,Vilu Reef Resort
Dh,Vommuli_Resort,Vommuli Resort
F,Bileddhoo,Bileddhoo
F,Feeali,Feeali
F,Filitheyo_Resort,Filitheyo Resort
F,Magoodhoo,Magoodhoo
F,Nilandhoo,Nilandhoo
GA,Dhaandhoo,Dhaandhoo
GA,Dhevvadhoo,Dhevvadhoo
GA,Dhigurah_Resort,Dhigurah Resort
GA,Gemanafushi,Gemanafushi
GA,Hadahaa_Resort,Hadahaa Resort
GA,Kanduhulhudhoo,Kanduhulhudhoo
GA,Kolamaafushi,Kolamaafushi
GA,Kondey,Kondey
GA,Maamendhoo,Maamendhoo
GA,Meradhoo_Resort,Meradhoo Resort
GA,Nilandhoo,Nilandhoo
GA,Robinson_Club_Resort,Robinson Club Resort
GA,Viligili,Viligili
GDh,Faresmaathoda,Faresmaathoda
GDh,Fiyoaree,Fiyoaree
GDh,Gadhdhoo,Gadhdhoo
GDh,Hoandedhdhoo,Hoandedhdhoo
GDh,Kaadeddhoo_Airport,Kaadeddhoo Airport
GDh,Konotta_Resort,Konotta Resort
GDh,Madaveli,Madaveli
GDh,Magudhdhuva_Resort,Magudhdhuva Resort
GDh,Nadella,Nadella
GDh,Rathafandhoo,Rathafandhoo
GDh,Thinadhoo,Thinadhoo
GDh,Thinadhoo_Aahatha,Thinadhoo Aahatha
GDh,Vaadhoo,Vaadhoo
Gn,Fuvahmulah,Fuvahmulah
Gn,Fuvahmulah_2,Fuvahmulah 2
Gn,Fuvahmulah_3,Fuvahmulah 3
Gn,Fuvahmulah_Badhahi,Fuvahmulah Badhahi
Gn,Fuvahmulah_Vaanaa,Fuvahmulah Vaanaa
HA,Baarah,Baarah
HA,Dhidhdhoo,Dhidhdhoo
HA,Dhidhdhoo_Heyzleen,Dhidhdhoo Heyzleen
HA,Filladhoo,Filladhoo
HA,Hoarafushi,Hoarafushi
HA,Ihavandhoo,Ihavandhoo
HA,Island_Hideway_Resort,Island Hideway Resort
HA,Kelaa,Kelaa
HA,Maarandhoo,Maarandhoo
HA,Manafaru_Resort,Manafaru Resort
HA,Muraidhoo,Muraidhoo
HA,Thakandhoo,Thakandhoo
HA,Uligamu,Uligamu
HA,Utheemu,Utheemu
HA,Vashafaru,Vashafaru
HDh,Dhipparufushi_Resort,Dhipparufushi Resort
HDh,Finey,Finey
HDh,Hanimaadhoo,Hanimaadhoo
HDh,Hirimaradhoo,Hirimaradhoo
HDh,Kulhudhuffushi,Kulhudhuffushi
HDh,Kulhudhuffushi_2,Kulhudhuffushi 2
HDh,Kulhudhuffushi_Gadhage,Kulhudhuffushi Gadhage
HDh,Kumundhoo,Kumundhoo
HDh,Kurinbi,Kurinbi
HDh,Makunudhoo,Makunudhoo
HDh,Naivaadhoo,Naivaadhoo
HDh,Nellaidhoo,Nellaidhoo
HDh,Neykurendhoo,Neykurendhoo
HDh,Nolhivaram,Nolhivaram
HDh,Nolhivaranfaru,Nolhivaranfaru
HDh,Vaikaradhoo,Vaikaradhoo
K,Aarah,Aarah
K,Akirifushi_Resort,Akirifushi Resort
