region_code,location_key,site_number,site_code,display_name
AA,Bathalaa_Resort,3713,AA_3713_Bathalaa_Resort,AA 3713 Bathalaa Resort
AA,Bodufolhudhoo,3715,AA_3715_Bodufolhudhoo,AA 3715 Bodufolhudhoo
AA,Feridhoo,3709,AA_3709_Feridhoo,AA 3709 Feridhoo
AA,Fesdhoo_Resort,3708,AA_3708_Fesdhoo_Resort,AA 3708 Fesdhoo Resort
AA,Halaveli_Resort,3721,AA_3721_Halaveli_Resort,AA 3721 Halaveli Resort
AA,Himandhoo,3702,AA_3702_Himandhoo,AA 3702 Himandhoo
AA,Kandholhudhoo_Resort,3751,AA_3751_Kandholhudhoo_Resort,AA 3751 Kandholhudhoo Resort
AA,Kuramathi_Resort,3712,AA_3712_Kuramathi_Resort,AA 3712 Kuramathi Resort
AA,Maalhos,3703,AA_3703_Maalhos,AA 3703 Maalhos
AA,Mathiveri,3704,AA_3704_Mathiveri,AA 3704 Mathiveri
AA,Nika_Resort,3717,AA_3717_Nika_Resort,AA 3717 Nika Resort
AA,Rasdhoo,3706,AA_3706_Rasdhoo,AA 3706 Rasdhoo
AA,Safari_Island_Resort,3748,AA_3748_Safari_Island_Resort,AA 3748 Safari Island Resort
AA,Thoddoo,3707,AA_3707_Thoddoo,AA 3707 Thoddoo
AA,Ukulhas,3710,AA_3710_Ukulhas,AA 3710 Ukulhas
AA,Veligandu_Resort,3720,AA_3720_Veligandu_Resort,AA 3720 Veligandu Resort
ADh,Angaagaa_Resort,3809,ADh_3809_Angaagaa_Resort,ADh 3809 Angaagaa Resort
ADh,Dhangethi,3801,ADh_3801_Dhangethi,ADh 3801 Dhangethi
ADh,Dhigurah,3802,ADh_3802_Dhigurah,ADh 3802 Dhigurah
ADh,Fenfushi,3810,ADh_3810_Fenfushi,ADh 3810 Fenfushi
ADh,Haggnaameedhoo,3803,ADh_3803_Haggnaameedhoo,ADh 3803 Haggnaameedhoo
ADh,Holiday_Island_Resort,3824,ADh_3824_Holiday_Island_Resort,ADh 3824 Holiday Island Resort
ADh,Lux_Maldives_Resort,3807,ADh_3807_Lux_Maldives_Resort,ADh 3807 Lux Maldives Resort
ADh,Maamigili,3804,ADh_3804_Maamigili,ADh 3804 Maamigili
ADh,Machchafushi_Resort,3815,ADh_3815_Machchafushi_Resort,ADh 3815 Machchafushi Resort
ADh,Mahibadhoo,3805,ADh_3805_Mahibadhoo,ADh 3805 Mahibadhoo
ADh,Mandhoo,3806,ADh_3806_Mandhoo,ADh 3806 Mandhoo
ADh,Moofushi_Resort,3722,ADh_3722_Moofushi_Resort,ADh 3722 Moofushi Resort
ADh,Omadhoo,3811,ADh_3811_Omadhoo,ADh 3811 Omadhoo
ADh,Rangali_Resort,3813,ADh_3813_Rangali_Resort,ADh 3813 Rangali Resort
ADh,Sun_Island_Resort,3826,ADh_3826_Sun_Island_Resort,ADh 3826 Sun Island Resort
ADh,Vakarufalhi_Resort,3820,ADh_3820_Vakarufalhi_Resort,ADh 3820 Vakarufalhi Resort
ADh,Vilamendhoo_Resort,3814,ADh_3814_Vilamendhoo_Resort,ADh 3814 Vilamendhoo Resort
B,Amilla_Fushi_Resort,1151,B_1151_Amilla_Fushi_Resort,B 1151 Amilla Fushi Resort
B,Anantara_Kihaavah_Resort,1154,B_1154_Anantara_Kihaavah_Resort,B 1154 Anantara Kihaavah Resort
B,AvaniFares_Resort,1184,B_1184_AvaniFares_Resort,B 1184 AvaniFares Resort
B,CocoPalm_Dhunikolhu_Resort,1113,B_1113_CocoPalm_Dhunikolhu_Resort,B 1113 CocoPalm Dhunikolhu Resort
B,Dharavandhoo,1101,B_1101_Dharavandhoo,B 1101 Dharavandhoo
B,Dhonfanu,1163,B_1163_Dhonfanu,B 1163 Dhonfanu
B,Eydhafushi,1102,B_1102_Eydhafushi,B 1102 Eydhafushi
B,Goidhoo,1103,B_1103_Goidhoo,B 1103 Goidhoo
B,Hithaadhoo,1104,B_1104_Hithaadhoo,B 1104 Hithaadhoo
B,Kamadhoo,1107,B_1107_Kamadhoo,B 1107 Kamadhoo
B,Kanufushi_Resort,1165,B_1165_Kanufushi_Resort,B 1165 Kanufushi Resort
B,Kendhoo,1105,B_1105_Kendhoo,B 1105 Kendhoo
B,Kihaadhoo,1164,B_1164_Kihaadhoo,B 1164 Kihaadhoo
B,Kihaadhuffaru_Resort,1115,B_1115_Kihaadhuffaru_Resort,B 1115 Kihaadhuffaru Resort
B,Kudarikilu,1114,B_1114_Kudarikilu,B 1114 Kudarikilu
B,Landagiravaru_Resort,1109,B_1109_Landagiravaru_Resort,B 1109 Landagiravaru Resort
B,Maalhos,1119,B_1119_Maalhos,B 1119 Maalhos
B,Mudhdhoo_Resort,1125,B_1125_Mudhdhoo_Resort,B 1125 Mudhdhoo Resort
B,Reethi_Beach_Resort,1120,B_1120_Reethi_Beach_Resort,B 1120 Reethi Beach Resort
B,Royal_Island_Resort,1117,B_1117_Royal_Island_Resort,B 1117 Royal Island Resort
B,Soneva_Fushi_Resort,1128,B_1128_Soneva_Fushi_Resort,B 1128 Soneva Fushi Resort
B,Thulhaadhoo,1106,B_1106_Thulhaadhoo,B 1106 Thulhaadhoo
B,Voavah_Resort,1168,B_1168_Voavah_Resort,B 1168 Voavah Resort
Dh,Bandidhoo,3109,Dh_3109_Bandidhoo,Dh 3109 Bandidhoo
Dh,Emboodhoofushi_Resort,3113,Dh_3113_Emboodhoofushi_Resort,Dh 3113 Emboodhoofushi Resort
Dh,Hulhudheli,3102,Dh_3102_Hulhudheli,Dh 3102 Hulhudheli
Dh,Kudahuvadhoo,3103,Dh_3103_Kudahuvadhoo,Dh 3103 Kudahuvadhoo
Dh,Maaeboodhoo,3105,Dh_3105_Maaeboodhoo,Dh 3105 Maaeboodhoo
Dh,Meedhoo,3104,Dh_3104_Meedhoo,Dh 3104 Meedhoo
Dh,Rinbidhoo,3107,Dh_3107_Rinbidhoo,Dh 3107 Rinbidhoo
Dh,Vaanee,3106,Dh_3106_Vaanee,Dh 3106 Vaanee
Dh,Velavaru_Resort,3108,Dh_3108_Velavaru_Resort,Dh 3108 Velavaru Resort
Dh,Vilu_Reef_Resort,3111,Dh_3111_Vilu_Reef_Resort,Dh 3111 Vilu Reef Resort
Dh,Vommuli_Resort,3115,Dh_3115_Vommuli_Resort,Dh 3115 Vommuli Resort
F,Bileddhoo,3201,F_3201_Bileddhoo,F 3201 Bileddhoo
F,Feeali,3202,F_3202_Feeali,F 3202 Feeali
F,Filitheyo_Resort,3205,F_3205_Filitheyo_Resort,F 3205 Filitheyo Resort
